gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.198340,1280,2211840,12,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.436226,15,0.356163,-nan,-nan,0.437970,-nan,-nan
0.409001,14,0.351699,-nan,-nan,0.410626,-nan,-nan
0.421210,14,0.351464,-nan,-nan,0.423065,-nan,-nan
0.420365,14,0.349488,-nan,-nan,0.425803,-nan,-nan
0.418883,13,0.350818,-nan,-nan,0.420775,-nan,-nan
0.419524,14,0.353258,-nan,-nan,0.421313,-nan,-nan
0.441720,14,0.354526,-nan,-nan,0.443684,-nan,-nan
0.437028,14,0.351306,-nan,-nan,0.438815,-nan,-nan
0.414223,13,0.353849,-nan,-nan,0.416141,-nan,-nan
0.434950,14,0.350709,-nan,-nan,0.436354,-nan,-nan
0.433988,14,0.353599,-nan,-nan,0.435740,-nan,-nan
0.430840,14,0.354081,-nan,-nan,0.430972,-nan,-nan
0.415461,14,0.351997,-nan,-nan,0.417318,-nan,-nan
0.401349,13,0.353761,-nan,-nan,0.401603,-nan,-nan
0.422099,13,0.353569,-nan,-nan,0.422263,-nan,-nan
0.419567,14,0.354577,-nan,-nan,0.419742,-nan,-nan
0.440429,14,0.354298,-nan,-nan,0.442339,-nan,-nan
0.421983,14,0.352076,-nan,-nan,0.423689,-nan,-nan
0.430708,10,0.350635,-nan,-nan,0.432332,-nan,-nan
0.450060,13,0.349816,-nan,-nan,0.451666,-nan,-nan
