gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.094704,450,221184,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.031255,14,0.030509,-nan,-nan,0.033328,-nan,-nan
0.032167,15,0.031407,-nan,-nan,0.034234,-nan,-nan
0.030945,15,0.028123,-nan,-nan,0.033009,-nan,-nan
0.031894,14,0.025615,-nan,-nan,0.033931,-nan,-nan
0.027421,15,0.026466,-nan,-nan,0.029495,-nan,-nan
0.030255,16,0.025410,-nan,-nan,0.032377,-nan,-nan
0.029950,15,0.025383,-nan,-nan,0.032009,-nan,-nan
0.028970,16,0.025386,-nan,-nan,0.031091,-nan,-nan
0.029928,15,0.025299,-nan,-nan,0.032004,-nan,-nan
0.027547,15,0.025976,-nan,-nan,0.029634,-nan,-nan
0.027923,15,0.026750,-nan,-nan,0.029795,-nan,-nan
0.029771,15,0.025192,-nan,-nan,0.030998,-nan,-nan
0.030256,15,0.024939,-nan,-nan,0.031469,-nan,-nan
0.030859,15,0.025713,-nan,-nan,0.032089,-nan,-nan
0.030888,15,0.025421,-nan,-nan,0.032118,-nan,-nan
0.034189,15,0.025619,-nan,-nan,0.035443,-nan,-nan
0.032284,15,0.024834,-nan,-nan,0.033507,-nan,-nan
0.029851,14,0.025298,-nan,-nan,0.031862,-nan,-nan
0.029976,15,0.025385,-nan,-nan,0.031217,-nan,-nan
0.030460,15,0.025318,-nan,-nan,0.031690,-nan,-nan
